ItemID,Year,Quantity,VehID
512209,2006,122612,2006ScionxB-512209-2006
512211,2006,68630,2006ToyotaSequoia-512211-2006
512215,2006,90442,2006PontiacVibe-512215-2006
512215,2006,774776,2006ToyotaCorolla-512215-2006
512215,2006,213942,2006ToyotaPrius-512215-2006
512216,2006,90442,2006PontiacVibe-512216-2006
512216,2006,774776,2006ToyotaCorolla-512216-2006
512217,2006,90442,2006PontiacVibe-512217-2006
512217,2006,774776,2006ToyotaCorolla-512217-2006
512217,2006,213942,2006ToyotaPrius-512217-2006
512218,2006,90442,2006PontiacVibe-512218-2006
512218,2006,774776,2006ToyotaCorolla-512218-2006
512220,2006,138714,2006ChryslerSebring-512220-2006
512220,2006,102786,2006DodgeStratus-512220-2006
512256,2006,633276,2006HondaCivic-512256-2006
512257,2006,633276,2006HondaCivic-512257-2006
512259,2006,33992,2006AcuraRSX-512259-2006
512264,2006,1444,2006HondaInsight-512264-2006
512265,2006,299026,2006HyundaiSonata-512265-2006
512265,2006,76816,2006KiaOptima-512265-2006
512266,2006,76816,2006KiaOptima-512266-2006
512267,2006,74142,2006KiaSportage-512267-2006
512268,2006,63810,2006NissanQuest-512268-2006
512269,2006,23200,2006MazdaMPV-512269-2006
512271,2006,285004,2006FordFusion-512271-2006
512271,2006,132406,2006Mazda6-512271-2006
512271,2006,71706,2006MercuryMilan-512271-2006
512272,2006,285004,2006FordFusion-512272-2006
512272,2006,71706,2006MercuryMilan-512272-2006
512273,2006,66400,2006VolvoXC90-512273-2006
512274,2006,52770,2006MitsubishiEclipse-512274-2006
512274,2006,55346,2006MitsubishiGalant-512274-2006
512275,2006,55346,2006MitsubishiGalant-512275-2006
512276,2006,46334,2006MitsubishiLancer-512276-2006
512280,2006,326538,2006ToyotaSienna-512280-2006
512281,2006,326538,2006ToyotaSienna-512281-2006
512282,2006,129794,2006ToyotaHighlander-512282-2006
512283,2006,129794,2006ToyotaHighlander-512283-2006
512284,2006,259588,2006ToyotaHighlander-512284-2006
512285,2006,395932,2006ChevroletMalibu-512285-2006
512285,2006,315288,2006PontiacG6-512285-2006
512286,2006,19188,2006KiaAmanti-512286-2006
512287,2006,202596,2006ChevroletHHR-512287-2006
512287,2006,395932,2006ChevroletMalibu-512287-2006
512287,2006,315288,2006PontiacG6-512287-2006
512288,2006,156486,2006ChryslerPacifica-512288-2006
512289,2006,28034,2006MitsubishiEndeavor-512289-2006
512291,2006,28034,2006MitsubishiEndeavor-512291-2006
512292,2006,464914,2006NissanAltima-512292-2006
512292,2006,139526,2006NissanMaxima-512292-2006
512292,2006,63810,2006NissanQuest-512292-2006
512293,2006,168884,2006SubaruLegacy-512293-2006
512299,2006,44664,2006MercuryMontego-512299-2006
512300,2006,44664,2006MercuryMontego-512300-2006
512221,2006,217268,2006PontiacGrand Prix-512221-2006
512222,2006,91908,2006BuickRendezvous-512222-2006
512223,2006,109692,2006CadillacCTS-512223-2006
512223,2006,51352,2006CadillacSTS-512223-2006
512229,2006,227776,2006ChevroletEquinox-512229-2006
512229,2006,86348,2006PontiacTorrent-512229-2006
512229,2006,177162,2006SaturnVue-512229-2006
512230,2006,86348,2006PontiacTorrent-512230-2006
512230,2006,177162,2006SaturnVue-512230-2006
512231,2006,99724,2006AudiA4-512231-2006
512232,2006,9984,2006Saab45540-512232-2006
512236,2006,91908,2006BuickRendezvous-512236-2006
512237,2006,142144,2006BuickLaCrosse-512237-2006
512237,2006,579736,2006ChevroletImpala-512237-2006
512237,2006,217268,2006PontiacGrand Prix-512237-2006
512243,2006,109692,2006CadillacCTS-512243-2006
512243,2006,44086,2006CadillacSRX-512243-2006
512243,2006,51352,2006CadillacSTS-512243-2006
512244,2006,142144,2006BuickLaCrosse-512244-2006
512244,2006,579736,2006ChevroletImpala-512244-2006
512244,2006,217268,2006PontiacGrand Prix-512244-2006
512246,2006,109692,2006CadillacCTS-512246-2006
512246,2006,51352,2006CadillacSTS-512246-2006
512246,2006,14342,2006SaturnRelay-512246-2006
512247,2006,422898,2006ChevroletCobalt-512247-2006
512247,2006,204084,2006SaturnIon-512247-2006
512248,2006,422898,2006ChevroletCobalt-512248-2006
512248,2006,204084,2006SaturnIon-512248-2006
512250,2006,422898,2006ChevroletCobalt-512250-2006
512250,2006,202596,2006ChevroletHHR-512250-2006
512250,2006,204084,2006SaturnIon-512250-2006
512301,2006,287294,2006Chrysler300-512301-2006
512301,2006,228402,2006DodgeCharger-512301-2006
512301,2006,80190,2006DodgeMagnum-512301-2006
512302,2006,176994,2006JeepCommander-512302-2006
512302,2006,278296,2006JeepGrand Cherokee-512302-2006
512303,2006,235844,2006NissanSentra-512303-2006
512304,2006,78342,2006MiniCooper-512304-2006
512305,2006,99724,2006AudiA4-512305-2006
512306,2006,10428,2006JaguarX-Type-512306-2006
512307,2006,48266,2006Saab45538-512307-2006
512309,2006,23896,2006BuickTerraza-512309-2006
512309,2006,776,2006PontiacMontana-512309-2006
512309,2006,14342,2006SaturnRelay-512309-2006
512312,2006,50125,2006FordFreestar-512312-2006
512312,2006,4467,2006MercuryMonterey-512312-2006
512313,2006,50125,2006FordFreestar-512313-2006
512313,2006,4467,2006MercuryMonterey-512313-2006
512316,2006,13308,2006ChevroletOptra-512316-2006
512316,2006,97158,2006SuzukiReno-512316-2006
512316,2006,4604,2006SuzukiVerona-512316-2006
512317,2006,13308,2006ChevroletOptra-512317-2006
512317,2006,97158,2006SuzukiReno-512317-2006
512319,2006,206662,2006VolkswagenJetta-512319-2006
