Date,ItemID,Quantity
2014-12-29,515078,100
2014-12-29,515078,50
2014-12-29,515098,80
2014-12-29,515036HD,125
2014-12-29,515036HD,115
2014-12-29,512418,17
2014-12-29,512411K,150
2014-12-29,512418,30
2014-12-29,513265,240
2014-12-29,WB000035,75
2014-12-29,511034,15
2014-12-29,513265,170
2014-12-29,HA590331,55
2014-12-29,HA590331,60
2014-12-29,515103,5
2014-12-29,512345,30
2014-12-29,512311,20
2014-12-29,513285,7
2014-12-29,512136,15
2014-12-29,512384,25
2014-12-29,515125,20
2014-12-29,513285,25
2014-12-29,541004,56
2014-12-29,513276,35
2014-12-29,515076,12
2014-12-29,541002,160
2014-12-29,515047,24
2014-12-29,515121,52
2014-12-29,515023,5
2014-12-29,513211,30
2014-12-29,512358,100
2014-12-29,513214,100
2014-12-29,513214,100
2014-12-29,513214,100
2014-12-29,515046,46
2014-12-30,515029,16
2014-12-30,515058,68
2014-12-30,515058,41
2014-12-30,515086,125
2014-12-30,541001,12
2014-12-30,515058,12
2014-12-30,515058,42
2014-12-30,515086,24
2014-12-30,515003,150
2014-12-30,515003,120
2014-12-31,515103,40
2015-01-02,518507,2
2015-01-02,515093,100
2015-01-02,515101,100
2015-01-02,515101,100
2015-01-02,515101,100
2015-01-02,515101,100
2015-01-02,515101,100
2015-01-02,515101,100
2015-01-02,515101,100
2015-01-02,515078,150
2015-01-02,515078,150
2015-01-02,515078,150
2015-01-02,515078,150
2015-01-02,515125,100
2015-01-02,513276,180
2015-01-02,513276,180
2015-01-02,513276,180
2015-01-02,515066,83
2015-01-02,515101,40
2015-01-02,515125,50
2015-01-02,515065,50
2015-01-02,512418,3
2015-01-02,515024,100
2015-01-05,541001,16
2015-01-05,511036,35
2015-01-05,510056,36
2015-01-05,517008,64
2015-01-05,511029,32
2015-01-05,510056,52
2015-01-05,510090,168
2015-01-05,510095,12
2015-01-05,HA590454,2
2015-01-05,512376,2
2015-01-05,HA590455,2
2015-01-05,512373,2
2015-01-05,SP550218,2
2015-01-05,515003,10
2015-01-05,515052,17
2015-01-05,515062,9
2015-01-05,515008,1
2015-01-05,515080,2
2015-01-06,BF930954,40
2015-01-06,BF930501,20
2015-01-06,BF930706,40
2015-01-06,BF930601,40
2015-01-06,BF930608,30
2015-01-06,513217,10
2015-01-06,513272,4
2015-01-06,513272,8
2015-01-06,513272,12
2015-01-06,512205,50
2015-01-06,515051,50
2015-01-06,515003,100
2015-01-07,HA590392,2
2015-01-07,800050,2
2015-01-07,512319K,3
2015-01-07,800057,2
2015-01-07,HA590407,2
2015-01-07,513273,141
2015-01-07,515093,100
2015-01-07,512360,150
2015-01-07,512360,150
2015-01-07,513190,150
2015-01-07,513273,150
2015-01-07,513273,150
2015-01-07,513273,125
2015-01-07,515042,150
2015-01-07,515079,150
2015-01-07,515079,150
2015-01-07,515079,150
2015-01-07,512223,180
2015-01-07,512223,180
2015-01-07,515043,150
2015-01-07,515043,55
2015-01-07,515093,65
2015-01-07,541001,12
2015-01-07,515093,150
2015-01-07,541009,300
2015-01-07,513255,150
2015-01-07,512289,30
2015-01-07,515101,95
2015-01-07,541008,50
2015-01-07,512389,10
2015-01-07,513276,60
2015-01-07,515078,17
2015-01-07,513178,75
2015-01-07,513303,100
2015-01-07,513205,210
2015-01-07,513205,40
2015-01-07,512294,50
2015-01-07,512360,120
2015-01-07,512360,105
2015-01-09,512275,7
2015-01-09,HA590407,10
2015-01-09,515122,80
2015-01-09,515122,80
2015-01-09,515122,75
2015-01-09,513257,120
2015-01-09,512360,105
2015-01-09,512360,120
2015-01-09,512293,180
2015-01-09,512293,95
2015-01-09,512319,75
2015-01-09,512289,12
2015-01-09,515113MPA,120
2015-01-09,SP620300,2
2015-01-09,SP620301,2
2015-01-09,HA590423,2
2015-01-09,SP620303,2
2015-01-09,SP620302,2
2015-01-09,SP620302,2
2015-01-12,512237,8
2015-01-12,513206,13
2015-01-12,513206,13
2015-01-12,513206,13
2015-01-13,515069,20
2015-01-13,515113,100
2015-01-13,515093,12
2015-01-13,515093,12
2015-01-13,513030,2
2015-01-14,512292,50
2015-01-14,8954452040,10
2015-01-14,513100,2
2015-01-14,512398,25
2015-01-14,HA590002,100
2015-01-14,513298,25
2015-01-15,515050,150
2015-01-15,515050,27
2015-01-15,541004,14
2015-01-15,512398,35
2015-01-16,515060,50
2015-01-16,512365,1
2015-01-16,515062,100
2015-01-16,515062,38
2015-01-16,515066,75
2015-01-16,512387,30
2015-01-16,SP620302,70
2015-01-16,513188,180
2015-01-16,513188,180
2015-01-16,515113MPA,120
2015-01-16,515113MPA,120
2015-01-19,513291,2
2015-01-19,513124,1
2015-01-19,513191,1
2015-01-19,515107,80
2015-01-20,515054,80
2015-01-20,515054,80
2015-01-20,515071,57
2015-01-20,515054,67
2015-01-20,515054,67
2015-01-20,515054,67
2015-01-20,515054,67
2015-01-20,SP550219,20
2015-01-20,515050,150
2015-01-20,512206,84
2015-01-21,512369,50
2015-01-21,515032,90
2015-01-21,515003,100
2015-01-21,512332,10
2015-01-21,512332,40
2015-01-21,512207,27
2015-01-21,512207,3
2015-01-21,512207,14
2015-01-21,512207,50
2015-01-21,168X193X160,125
2015-01-22,513311,200
2015-01-22,516009,100
2015-01-22,513299,1
2015-01-23,515098,80
2015-01-23,515098,80
2015-01-23,513189,100
2015-01-23,513189,100
2015-01-23,515101,100
2015-01-23,515101,200
2015-01-23,515122,65
2015-01-23,515097,150
2015-01-23,515097,150
2015-01-23,515098,20
2015-01-23,515098,30
2015-01-23,515098,10
2015-01-26,515063,24
2015-01-26,515063,24
2015-01-26,515054,90
2015-01-26,515054,90
2015-01-26,515107,40
2015-01-26,515107,40
2015-01-26,512308,20
2015-01-26,512308,20
2015-01-26,512308,20
